Id,Gender,MasterCategory,SubCategory,ArticleType,BaseColor,Season,Year,Usage,ProductDisplayName,Column1,Column2
14604,Men,Accessories,Socks,Socks,Green,Summer,2011,Casual,United Colors of Benetton Men Stripes Green Socks,,
46623,Unisex,Accessories,Bags,Backpacks,Black,Summer,2012,Casual,Nike Unisex Ultimatum Max Backpack,,
16361,Men,Apparel,Topwear,Shirts,Maroon,Fall,2011,Formal,Peter England Men Stripes Maroon Shirt,,
34031,Boys,Apparel,Topwear,Shirts,Blue,Summer,2012,Casual,Gini and Jony Boys Check Blue Shirt,,
22968,Unisex,Accessories,Bags,Backpacks,Black,Summer,2011,Casual,U.S. Polo Assn. Unisex Casual Olive Backpack,,
11144,Men,Apparel,Topwear,Shirts,Black,Fall,2011,Casual,Scullers Men Price Catch Black Shirts,,
46075,Men,Accessories,Belts,Belts,Black,Summer,2012,Casual,Lino Perros Men Black Leather Belt,,
11520,Women,Apparel,Bottomwear,Jeans,Black,Fall,2011,Casual,United Colors of Benetton Women Denim Black Jeans,,
41250,Men,Accessories,Belts,Belts,Brown,Summer,2012,Formal,Arrow Men Black & Brown Reversible Belt,,
14052,Men,Apparel,Topwear,Shirts,White,Fall,2011,Casual,Flying Machine Men Solid White Shirts,,
11712,Men,Apparel,Topwear,Shirts,Blue,Summer,2011,Casual,Lee Men Solid Blue Shirts,,
25527,Women,Apparel,Topwear,Shirts,Green,Summer,2012,Casual,Wrangler Women Stella Green Shirt,,
13879,Men,Apparel,Topwear,Shirts,Red,Fall,2011,Casual,Scullers Men Check Red Shirts,,
48927,Women,Accessories,Jewellery,Ring,Silver,Summer,2012,Casual,Lucera Women Silver Ring,,
26958,Women,Apparel,Topwear,Shirts,Teal,Summer,2012,Casual,Jealous 21 Women Teal Shirt,,
13283,Men,Apparel,Topwear,Shirts,Blue,Fall,2011,Casual,Gini and Jony Kids Boys Check Blue Shirts,,
15948,Men,Accessories,Ties,Ties,Burgundy,Fall,2011,Formal,Turtle Men Stripes Burgundy Ties,,
37224,Women,Apparel,Topwear,Shirts,Purple,Summer,2012,Casual,United Colors of Benetton Women Purple Shirt,,
21173,Women,Apparel,Topwear,Shirts,Grey,Fall,2011,Casual,s.Oliver Women Grey Shirt,,
6046,Men,Apparel,Topwear,Shirts,Green,Summer,2011,Casual,UCB Men Logo Chest Green Shirt,,
24065,Men,Apparel,Topwear,Shirts,Green,Fall,2011,Casual,Locomotive Men Checked Green Shirt,,
17075,Women,Accessories,Belts,Belts,Navy Blue,Winter,2015,Casual,Lino Perros Women Weaved  Navy Blue Belt,,
18801,Men,Accessories,Belts,Belts,Brown,Summer,2011,Casual,Peter England Men Casual Brown Belt,,
16395,Men,Apparel,Topwear,Shirts,Black,Fall,2011,Casual,Levis Men Check Black Shirts,,
9658,Men,Apparel,Topwear,Shirts,Maroon,Fall,2011,Casual,Indigo Nation Men Reversible Bling Maroon Shirt,,
34038,Boys,Apparel,Topwear,Shirts,Red,Summer,2012,Casual,Gini and Jony Boys Check Red Shirt,,
8777,Men,Apparel,Topwear,Shirts,Blue,Fall,2011,Casual,Indigo Nation Men Price catch Blue Shirts,,
19320,Unisex,Accessories,Bags,Backpacks,Pink,Fall,2011,Casual,Nike Unisex Classic Turf Pink Backpack,,
39727,Women,Apparel,Topwear,Shirts,Blue,Summer,2012,Formal,Arrow Woman Blue Shirt,,
58146,Unisex,Accessories,Bags,Backpacks,Black,Summer,2012,Casual,Puma Unisex Black Backpack,,
7169,Men,Apparel,Topwear,Shirts,Blue,Fall,2011,Casual,Scullers Men Scul Navy Blue Shirt,,
13870,Men,Apparel,Topwear,Shirts,Beige,Fall,2011,Casual,Scullers Men Stripes Beige Shirts,,
8121,Men,Accessories,Belts,Belts,Brown,Winter,2016,Casual,Fastrack Men Brown Belt,,
27877,Women,Apparel,Topwear,Shirts,Navy Blue,Summer,2012,Casual,Scullers For Her Women Printed Navy Blue Shirt,,
49034,Women,Accessories,Jewellery,Ring,Silver,Summer,2012,Casual,Lucera Women Silver Ring,,
29317,Unisex,Accessories,Bags,Backpacks,Blue,Summer,2012,Casual,ADIDAS Unisex Blue Backpack,,
13884,Men,Apparel,Topwear,Shirts,Black,Fall,2011,Casual,Scullers Men Check Black Shirts,,
12358,Men,Apparel,Topwear,Shirts,Cream,Fall,2011,Formal,Reid & Taylor Men Solid Cream Shirts,,
48112,Women,Accessories,Belts,Belts,Brown,Summer,2012,Casual,Fossil Women Brown Belt,,
9235,Men,Apparel,Topwear,Shirts,Blue,Fall,2011,Formal,Mark Taylor Men Plain Blue Shirts,,
15941,Men,Accessories,Belts,Belts,Black,Fall,2011,Casual,Turtle Men Leather Black Belts,,
9651,Men,Apparel,Topwear,Shirts,Green,Fall,2011,Casual,Indigo Nation Men Checks Green Shirts,,
8783,Men,Apparel,Topwear,Shirts,Red,Fall,2011,Casual,Indigo Nation Men Bling PC Red Shirt,,
4972,Men,Apparel,Topwear,Shirts,Green,Summer,2011,Casual,Gini and Jony Boy's Kangaroo Green White Kidswear,,
24850,Men,Accessories,Belts,Belts,Brown,Summer,2012,Formal,Indigo Nation Men Formal Brown Belts,,
18808,Men,Accessories,Belts,Belts,Navy Blue,Summer,2011,Casual,Peter England Men Casual Navy Blue Belt,,
29773,Men,Apparel,Topwear,Shirts,Green,Summer,2012,Casual,Wrangler Men Green Striped Shirt,,
9463,Men,Apparel,Topwear,Shirts,White,Fall,2011,Formal,John Miller Men White Shirt,,
16992,Women,Accessories,Belts,Belts,Black,Summer,2011,Casual,Puma Women Dizzy  Black Belt,,
49696,Men,Free Items,Free Gifts,Ties,Blue,Summer,2012,Formal,Park Avenue Blue Patterned Tie,,
59299,Men,Apparel,Topwear,Shirts,Blue,Fall,2012,Casual,U.S. Polo Assn. Men Striped Blue Shirt,,
34463,Unisex,Accessories,Bags,Backpacks,Black,Summer,2012,Casual,ADIDAS Unisex Black Backpack,,
31111,Boys,Apparel,Bottomwear,Jeans,Black,Summer,2012,Casual,Gini and Jony Boys Solid Black Jeans,,
12393,Men,Accessories,Socks,Socks,Black,Summer,2016,Formal,Reid & Taylor Men Solid Black Socks,,
7156,Men,Apparel,Topwear,Shirts,Black,Fall,2011,Casual,Scullers Men Black Check Shirt,,
8922,Men,Accessories,Belts,Belts,White,Fall,2011,Casual,Puma Men Cat  White Belt,,
50314,Men,Accessories,Ties,Ties,Brown,Summer,2012,Formal,Park Avenue Men Brown Tie,,
33474,Women,Accessories,Belts,Belts,Blue,Summer,2012,Casual,Baggit Women Chotu Dum Blue Belt,,
11724,Women,Apparel,Topwear,Shirts,Red,Fall,2011,Casual,Lee Women Check Red Shirts,,
22350,Men,Apparel,Topwear,Shirts,Blue,Fall,2011,Casual,John Players Men Check Blue Shirt,,
13417,Men,Apparel,Topwear,Shirts,Blue,Summer,2011,Casual,United Colors of Benetton Men Solid Blue Shirts,,
11340,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2017,Casual,Lee Men Blue Chicago Fit Jeans,,
41602,Men,Apparel,Topwear,Shirts,Navy Blue,Summer,2012,Casual,Basics Men Navy Shirt,,
24295,Men,Accessories,Socks,Socks,Black,Summer,2016,Casual,Quiksilver Men Black Socks,,
37682,Unisex,Accessories,Bags,Backpacks,Black,Summer,2012,Casual,American Tourister Unisex Black Backpack,,
16357,Men,Apparel,Topwear,Shirts,Blue,Fall,2011,Formal,Peter England Men Stripes Blue Shirt,,
8748,Men,Apparel,Topwear,Shirts,Orange,Fall,2011,Casual,Indigo Nation Men Plain Orange Shirts,,
18837,Men,Accessories,Belts,Belts,Brown,Summer,2011,Formal,Peter England Men Formal Brown Belt,,
37676,Unisex,Accessories,Bags,Backpacks,Black,Winter,2012,Casual,American Tourister Unisex Black Backpack,,
30453,Men,Apparel,Bottomwear,Jeans,White,Summer,2012,Casual,Deni Yo Men White Jeans,,
48549,Women,Accessories,Belts,Belts,Black,Summer,2012,Casual,Wrangler Women Black Belt,,
10430,Men,Apparel,Topwear,Shirts,Blue,Fall,2011,Casual,Flying Machine Men Ydc Blue Shirts,,
39388,Men,Apparel,Bottomwear,Jeans,Black,Summer,2012,Casual,Peter England Men Black Jeans,,
37212,Men,Apparel,Topwear,Shirts,Pink,Summer,2012,Casual,United Colors of Benetton Men Pink Shirt,,
47165,Men,Accessories,Belts,Belts,Black,Summer,2012,Casual,Peter England Men Black Belt,,
12367,Men,Apparel,Topwear,Shirts,White,Fall,2011,Formal,Reid & Taylor Men White Shirt,,
9804,Men,Apparel,Topwear,Shirts,Black,Fall,2011,Formal,John Miller Men Black Checks Shirts,,
33480,Women,Accessories,Belts,Belts,Purple,Spring,2012,Casual,Baggit Women Purple Belt,,
21145,Women,Apparel,Topwear,Shirts,Black,Fall,2011,Casual,s.Oliver Women Printed Black Shirt,,
29774,Men,Apparel,Topwear,Shirts,Purple,Summer,2012,Casual,Wrangler Men Purple Striped Shirt,,
9464,Men,Apparel,Topwear,Shirts,White,Fall,2011,Formal,John Miller Men  White Shirt,,
9656,Men,Apparel,Topwear,Shirts,Maroon,Fall,2011,Casual,Indigo Nation Men Bling Technification Red Black Shirts,,
48929,Women,Accessories,Jewellery,Ring,Silver,Fall,2012,Casual,Lucera Women Silver Ring,,
27884,Women,Apparel,Topwear,Shirts,Blue,Summer,2012,Formal,Scullers For Her Blue Shirt,,
48115,Women,Accessories,Belts,Belts,Black,Summer,2012,Casual,Fossil Women Black Midnight  Belt,,
15946,Men,Accessories,Ties,Ties,Black,Fall,2011,Formal,Turtle Men Solid Black Ties,,
12951,Men,Apparel,Topwear,Shirts,Blue,Fall,2011,Casual,Basics Men Blue Slim Fit Checked Shirt,,
6048,Men,Apparel,Topwear,Shirts,Black,Summer,2011,Casual,UCB Men Ben Logo Black Shirt,,
13883,Men,Apparel,Topwear,Shirts,Purple,Fall,2011,Casual,Scullers Men Check Purple Shirts,,
27870,Women,Apparel,Topwear,Shirts,White,Fall,2012,Smart Casual,Scullers For Her Women White Striped Shirt,,
49033,Women,Accessories,Jewellery,Ring,Silver,Summer,2012,Casual,Lucera Women Silver Ring,,
8314,Men,Apparel,Topwear,Shirts,Blue,Summer,2011,Casual,Locomotive Men Check Lafayette Blue Shirts,,
25529,Men,Apparel,Topwear,Shirts,White,Summer,2012,Casual,Wrangler Men Griffith White Shirt,,
41850,Men,Accessories,Socks,Socks,Black,Winter,2015,Casual,Genesis Men Pack of 3 Socks,,
21189,Unisex,Accessories,Bags,Backpacks,Blue,Summer,2012,Casual,Quiksilver Unisex Blue Backpack,,
16539,Men,Apparel,Topwear,Shirts,White,Fall,2011,Casual,Basics Men White Slim Fit Striped Shirt,,
13877,Men,Apparel,Topwear,Shirts,Maroon,Fall,2011,Casual,Scullers Men Solid Maroon Shirts,,
8126,Men,Accessories,Belts,Belts,Brown,Winter,2016,Casual,Fastrack Men Non Leather Brown Belts,,
11378,Men,Apparel,Topwear,Shirts,White,Fall,2011,Formal,United Colors of Benetton Men Summer White Shirts,,
39512,Unisex,Accessories,Bags,Backpacks,Black,Summer,2012,Casual,Peter England Unisex Black Backpack,,
9490,Unisex,Accessories,Bags,Backpacks,Black,Fall,2011,Casual,Puma Unisex Deck Black Backpacks,,
34803,Men,Accessories,Belts,Belts,Green,Summer,2012,Casual,Flying Machine Men Woven Green Belt,,
44348,Men,Apparel,Topwear,Shirts,Brown,Summer,2012,Casual,Indian Terrain Men Brown Check Shirt,,
26367,Women,Apparel,Topwear,Shirts,Lavender,Summer,2012,NA,Arrow Woman Lavender Shirt,,
30202,Unisex,Accessories,Bags,Backpacks,Navy Blue,Summer,2012,Casual,Nike Unisex Classic Turf Navy Blue Backpack,,
33487,Men,Apparel,Topwear,Shirts,Red,Summer,2012,Casual,Doodle Kids Boy Check Red Shirt,,
10437,Men,Apparel,Topwear,Shirts,Green,Fall,2011,Casual,Flying Machine Men HS Green Shirts,,
32767,Men,Apparel,Topwear,Shirts,White,Summer,2012,Formal,John Miller Men Striped White Shirt,,
37215,Men,Apparel,Topwear,Shirts,Grey,Summer,2012,Casual,United Colors of Benetton Men Grey Shirt,,
15145,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2011,Casual,Arrow Sport Men Printed Navy Blue Shirts,,
47162,Men,Accessories,Belts,Belts,Brown,Summer,2012,Casual,Peter England Men Brown Belt,,
12360,Men,Apparel,Topwear,Shirts,Black,Fall,2011,Formal,Reid & Taylor Men Solid Black Shirts,,
37671,Unisex,Accessories,Bags,Backpacks,Black,Summer,2012,Casual,American Tourister Unisex Black Backpack,,
9669,Men,Apparel,Topwear,Shirts,Blue,Fall,2011,Casual,Indigo Nation Men Checks Blue Shirts,,
18830,Men,Accessories,Belts,Belts,Black,Summer,2011,Formal,Peter England Men Formal Black Belt,,
8589,Men,Apparel,Topwear,Shirts,Blue,Fall,2011,Casual,Scullers Men Scul Blue Shirts,,
41605,Men,Apparel,Topwear,Shirts,Grey,Fall,2012,Casual,Basics Men Grey Shirt,,
24292,Men,Accessories,Socks,Socks,Black,Summer,2016,Casual,Quiksilver Men High Black Socks,,
37685,Unisex,Accessories,Bags,Backpacks,Black,Summer,2012,Casual,American Tourister Unisex Black Backpack,,
7707,Women,Apparel,Bottomwear,Jeans,Black,Fall,2011,Casual,Jealous 21 Women's Abbie Black Jegging,,
16350,Men,Apparel,Topwear,Shirts,Cream,Fall,2011,Formal,Peter England Men Stripes Cream Shirt,,
51497,Women,Apparel,Bottomwear,Jeans,Navy Blue,Summer,2012,Casual,Denizen Women Navy Blue Jeans,,
19318,Unisex,Accessories,Bags,Backpacks,Blue,Fall,2011,Casual,Nike Unisex Classic Base Blue Backpack,,
22357,Men,Apparel,Topwear,Shirts,Black,Fall,2011,Casual,John Players Men Solid Black Shirt,,
19916,Unisex,Accessories,Bags,Backpacks,Black,Winter,2015,Casual,Wildcraft Unisex Black & Grey Printed Laptop Backpack,,
13410,Men,Apparel,Topwear,Shirts,Blue,Summer,2011,Casual,United Colors of Benetton Men Solid Blue Shirts,,
11347,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2017,Casual,Lee Men Elvira Rinse Blue Chicago Fit Jeans,,
5262,Unisex,Accessories,Bags,Backpacks,Blue,Winter,2015,Casual,Wildcraft Unisex Blue & Grey Printed Backpack,,
8925,Men,Accessories,Belts,Belts,Black,Summer,2012,Casual,Puma Men High Shine Black Belt,,
16506,Men,Apparel,Bottomwear,Jeans,Blue,Fall,2011,Casual,Locomotive Men Washed Blue Jeans,,
7151,Women,Apparel,Topwear,Shirts,Black,Fall,2011,Casual,Scullers For Her Women Rivited Check Black Shirts,,
50313,Men,Accessories,Ties,Ties,Brown,Summer,2012,Formal,Park Avenue Men Brown Tie,,
8119,Men,Accessories,Belts,Belts,Grey,Winter,2016,Casual,Fastrack Men Canvas Red Stitches Grey Belts,,
33473,Women,Accessories,Belts,Belts,Brown,Summer,2012,Casual,Baggit Women Choti Jhuti Brown Belt,,
25724,Men,Accessories,Belts,Belts,Brown,Summer,2012,Casual,Wrangler Men Leather Brown Belt,,
36333,Men,Accessories,Socks,Socks,White,Summer,2016,Casual,Playboy Men White & Red Socks,,
12394,Men,Accessories,Socks,Socks,Black,Summer,2016,Formal,Reid & Taylor Men Solid Black Socks,,
46878,Men,Accessories,Socks,Socks,Black,Summer,2012,Casual,Lino Perros Men Pack of 2 Socks,,
28807,Men,Apparel,Topwear,Shirts,Brown,Summer,2012,Casual,Denizen Men Check Brown Shirt,,
13246,Men,Apparel,Bottomwear,Jeans,Blue,Fall,2011,Casual,Palm Tree Kids Boy Washed Blue Jeans,,
26101,Men,Apparel,Topwear,Shirts,White,Summer,2012,Formal,John Miller Men Striped White Shirt,,
9259,Men,Apparel,Topwear,Shirts,Blue,Fall,2011,Formal,Mark Taylor Men Blue Striped Shirt,,
16794,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2011,Casual,Highlander Men Stripes Navy Blue Shirt,,
48942,Women,Accessories,Jewellery,Ring,Silver,Summer,2013,Casual,Lucera Women Silver Ring,,
36393,Men,Accessories,Socks,Socks,Blue,Summer,2016,Casual,Reid & Taylor Men Blue Socks,,
24656,Boys,Accessories,Socks,Socks,White,Fall,2011,Casual,ADIDAS Originals Boys White Pack of 3 Casual Socks,,
44581,Men,Apparel,Bottomwear,Jeans,Navy Blue,Summer,2017,Casual,Lee Rinse Navy Blue Slim Fit Jeans,,
40121,Unisex,Accessories,Socks,Socks,White,Summer,2012,Casual,ADIDAS Unisex Pack of 3 Socks,,
32501,Men,Apparel,Topwear,Shirts,Black,Summer,2012,Casual,Scullers Men Black Shirt,,
51261,Men,Accessories,Belts,Belts,Black,Summer,2013,Formal,Park Avenue Men Black & Brown Reversible Belt,,
21572,Men,Accessories,Socks,Socks,Multi,Winter,2015,Casual,Lino Perros Men Pack of Five Striped Socks,,
59468,Women,Accessories,Jewellery,Ring,Silver,Summer,2013,Casual,Lucera Silver Ring,,
53152,Men,Apparel,Topwear,Shirts,Brown,Summer,2012,Formal,Mark Taylor Men Brown Shirt,,
32165,Women,Accessories,Socks,Socks,Pink,Summer,2017,Casual,Playboy Women Playmate Pink Ankle Socks,,
12750,Unisex,Accessories,Bags,Backpacks,Black,Summer,2012,Sports,Nike Unisex Swoosh Black Backpacks,,
54979,Women,Apparel,Topwear,Shirts,White,Summer,2012,Casual,Femella Women White Printed Shirt,,
35172,Unisex,Accessories,Bags,Backpacks,Red,Summer,2015,Casual,Wildcraft Unisex Cruiser Red Backpack,,
21586,Men,Apparel,Bottomwear,Jeans,Grey,Summer,2011,Casual,Locomotive Men Washed Grey Jeans,,
14661,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2011,Casual,Basics Men Navy Slim Fit Checked Shirt,,
20454,Women,Accessories,Belts,Belts,Teal,Winter,2015,Casual,Baggit Women Poppins Doko Teal Blue Belt,,
18890,Women,Apparel,Topwear,Shirts,Purple,Fall,2011,Casual,Arrow Woman Tyra Purple Shirt,,
2221,Unisex,Accessories,Bags,Backpacks,Blue,Summer,2011,Sports,ADIDAS Classic Blue White Backpack,,
35186,Unisex,Accessories,Bags,Backpacks,Grey,Spring,2013,Casual,Wildcraft Unisex Grey & Black Backpack,,
31142,Men,Apparel,Topwear,Shirts,Orange,Summer,2012,Formal,John Miller Men Check Orange Shirt,,
19728,Women,Apparel,Topwear,Shirts,Purple,Summer,2011,Casual,United Colors of Benetton Women Solid Purple Shirt,,
43562,Men,Accessories,Socks,Socks,White,Summer,2012,Casual,Puma Men White Pack of 3 Socks,,
50949,Women,Apparel,Bottomwear,Jeans,Navy Blue,Summer,2013,Casual,Lee Women Navy Blue Roxy Fit Jeans,,
58318,Men,Accessories,Socks,Socks,White,Summer,2016,Sports,Jockey LCESCBRA Men White Pack of 3 Socks 2004,,
14037,Men,Apparel,Topwear,Shirts,Blue,Winter,2016,Casual,Flying Machine Men Check Blue Shirts,,
36367,Men,Accessories,Ties,Ties,Red,Summer,2012,Formal,Reid & Taylor Men Red Tie,,
20030,Men,Apparel,Topwear,Shirts,Blue,Fall,2011,Casual,United Colors of Benetton Men Solid Blue Shirt,,
58916,Men,Accessories,Ties,Ties,Black,Summer,2017,Casual,Hakashi Men Black Silk Tie,,
7105,Unisex,Accessories,Bags,Backpacks,Green,Winter,2015,Casual,Wildcraft Unisex Green Backpack,,
39780,Men,Apparel,Topwear,Shirts,Yellow,Summer,2012,Casual,Peter England Men Yellow Casual Shirts,,
9602,Men,Apparel,Topwear,Shirts,Black,Fall,2011,Casual,Scullers Men Scul White & Red Shirt,,
23028,Men,Apparel,Topwear,Shirts,Blue,Fall,2011,Formal,Arrow Men Blue Striped Shirt,,
51408,Men,Apparel,Topwear,Shirts,Blue,Summer,2012,Casual,Myntra Men Blue and White Check Shirt,,
59457,Women,Accessories,Jewellery,Ring,Silver,Summer,2015,Casual,Lucera Silver Ring,,
8186,Men,Apparel,Topwear,Shirts,Grey,Summer,2011,Casual,Locomotive Men Check Lai Grey Shirts,,
48373,Men,Apparel,Topwear,Shirts,White,Summer,2012,Casual,French Connection Men White & Purple Check Shirt,,
56847,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2012,Casual,John Players Men Blue Jeans,,
15912,Men,Apparel,Topwear,Shirts,Blue,Fall,2011,Formal,Black Coffee Men Stripes Blue Shirt,,
9266,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2011,Casual,Scullers Men Scul Blue Shirts,,
48387,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2012,Casual,French Connection Men Blue Jeans,,
